family	cluster_id	count_in_family	n_in	p_in	count_outside_family	n_out	p_out	raw_names	evidence_subjects
CFPICI	FUNC:dmt_transporter	1	57	0.0175	0	82	0.0000	DMT family transporter	WP_025315445.1 DMT family transporter
CFPICI	FUNC:dnab_helicase_c_terminal	1	57	0.0175	0	82	0.0000	DnaB-like helicase C-terminal domain-containing protein	WP_045519156.1 DnaB-like helicase C-terminal domain-containing protein
CFPICI	FUNC:duf1474	1	57	0.0175	0	82	0.0000	DUF1474 family protein	WP_062931967.1 DUF1474 family protein
CFPICI	FUNC:duf3206	1	57	0.0175	0	82	0.0000	DUF3206 domain-containing protein	WP_005879185.1 DUF3206 domain-containing protein
CFPICI	FUNC:duf3892	1	57	0.0175	0	82	0.0000	DUF3892 domain-containing protein, partial	WP_069142260.1 DUF3892 domain-containing protein, partial
CFPICI	FUNC:duf4062	1	57	0.0175	0	82	0.0000	DUF4062 domain-containing protein	WP_136655157.1 DUF4062 domain-containing protein
CFPICI	FUNC:duf4102	1	57	0.0175	0	82	0.0000	DUF4102 domain-containing protein, partial	WP_141076941.1 DUF4102 domain-containing protein, partial
CFPICI	FUNC:duf4222	8	57	0.1404	4	82	0.0488	DUF4222 domain-containing protein	WP_000728896.1 DUF4222 domain-containing protein | WP_000770138.1 DUF4222 domain-containing protein | WP_000770141.1 DUF4222 domain-containing protein | WP_000770148.1 DUF4222 domain-containing protein | WP_000770152.1 DUF4222 domain-containing protein | WP_000791983.1 DUF4222 domain-containing protein | WP_001261488.1 DUF4222 domain-containing protein | WP_033817306.1 DUF4222 domain-containing protein | WP_128875149.1 DUF4222 domain-containing protein | WP_130967199.1 DUF4222 domain-containing protein | WP_135713326.1 DUF4222 domain-containing protein | WP_181672507.1 DUF4222 domain-containing protein
CFPICI	FUNC:duf6387	1	57	0.0175	0	82	0.0000	DUF6387 family protein	WP_048618054.1 DUF6387 family protein
CFPICI	FUNC:duf927	4	57	0.0702	2	82	0.0244	DUF927 domain-containing protein	WP_000710145.1 DUF927 domain-containing protein | WP_000761781.1 DUF927 domain-containing protein | WP_000953541.1 DUF927 domain-containing protein | WP_014326451.1 DUF927 domain-containing protein | WP_051664365.1 DUF927 domain-containing protein | WP_411675017.1 DUF927 domain-containing protein
CFPICI	FUNC:excisionase	3	57	0.0526	1	82	0.0122	excisionase | excisionase and transcriptional regulator | excisionase family DNA-binding protein	NP_042041.1 excisionase and transcriptional regulator | WP_049409504.1 excisionase family DNA-binding protein | WP_154876233.1 excisionase family DNA-binding protein | WP_174543323.1 excisionase
CFPICI	FUNC:ggdef	1	57	0.0175	0	82	0.0000	GGDEF domain-containing protein	WP_048620225.1 GGDEF domain-containing protein
CFPICI	FUNC:gnat_n_acetyltransferase	1	57	0.0175	2	82	0.0244	GNAT family N-acetyltransferase	WP_160531392.1 GNAT family N-acetyltransferase | WP_353727337.1 GNAT family N-acetyltransferase | WP_410038474.1 GNAT family N-acetyltransferase
CFPICI	FUNC:gp6_head_tail_connector	1	57	0.0175	0	82	0.0000	phage gp6-like head-tail connector protein	WP_103170275.1 phage gp6-like head-tail connector protein
CFPICI	FUNC:head_closure	18	57	0.3158	0	82	0.0000	phage head closure protein	WP_001020659.1 phage head closure protein | WP_001020660.1 phage head closure protein | WP_001020663.1 phage head closure protein | WP_001020667.1 phage head closure protein | WP_001201245.1 phage head closure protein | WP_031914420.1 phage head closure protein | WP_045517674.1 phage head closure protein | WP_049409528.1 phage head closure protein | WP_095370796.1 phage head closure protein | WP_103170271.1 phage head closure protein | WP_119489320.1 phage head closure protein | WP_154876223.1 phage head closure protein | WP_191817117.1 phage head closure protein | WP_225823445.1 phage head closure protein | WP_235198448.1 phage head closure protein
CFPICI	FUNC:head_tail_connector	17	57	0.2982	11	82	0.1341	head-tail connector protein | phage head-tail connector protein	WP_000123184.1 head-tail connector protein | WP_000137525.1 head-tail connector protein | WP_000909184.1 head-tail connector protein | WP_001576608.1 head-tail connector protein | WP_031914423.1 head-tail connector protein | WP_037589585.1 head-tail connector protein | WP_045517678.1 phage head-tail connector protein | WP_048253840.1 head-tail connector protein | WP_048618028.1 head-tail connector protein | WP_049409522.1 head-tail connector protein | WP_086392268.1 head-tail connector protein | WP_095370791.1 head-tail connector protein | WP_097707711.1 phage head-tail connector protein | WP_103301588.1 head-tail connector protein | WP_105495004.1 phage head-tail connector protein | WP_107642692.1 head-tail connector protein | WP_115195176.1 phage head-tail connector protein | WP_115199398.1 phage head-tail connector protein | WP_135023951.1 head-tail connector protein | WP_136766177.1 phage head-tail connector protein | WP_196113093.1 phage head-tail connector protein | WP_253030595.1 phage head-tail connector protein | WP_289354186.1 head-tail connector protein | WP_309192761.1 phage head-tail connector protein | WP_408628715.1 phage head-tail connector protein | WP_430875172.1 head-tail connector protein
CFPICI	FUNC:helicase_repa	5	57	0.0877	4	82	0.0488	helicase RepA family protein	WP_000761844.1 helicase RepA family protein | WP_000833612.1 helicase RepA family protein | WP_000833617.1 helicase RepA family protein | WP_000833625.1 helicase RepA family protein | WP_023195106.1 helicase RepA family protein | WP_033817305.1 helicase RepA family protein | WP_053285629.1 helicase RepA family protein
CFPICI	FUNC:hk97_prohead_protease	21	57	0.3684	2	82	0.0244	HK97 family phage prohead protease	WP_000504055.1 HK97 family phage prohead protease | WP_000504057.1 HK97 family phage prohead protease | WP_000504062.1 HK97 family phage prohead protease | WP_000504184.1 HK97 family phage prohead protease | WP_001475696.1 HK97 family phage prohead protease | WP_001576607.1 HK97 family phage prohead protease | WP_004245350.1 HK97 family phage prohead protease | WP_010905416.1 HK97 family phage prohead protease | WP_014573416.1 HK97 family phage prohead protease | WP_025315437.1 HK97 family phage prohead protease | WP_038679597.1 HK97 family phage prohead protease | WP_045519150.1 HK97 family phage prohead protease | WP_048253843.1 HK97 family phage prohead protease | WP_049409518.1 HK97 family phage prohead protease | WP_086392270.1 HK97 family phage prohead protease | WP_095370793.1 HK97 family phage prohead protease | WP_103170277.1 HK97 family phage prohead protease | WP_103301590.1 HK97 family phage prohead protease | WP_128875151.1 HK97 family phage prohead protease | WP_135023947.1 HK97 family phage prohead protease | WP_325989646.1 HK97 family phage prohead protease | WP_349302738.1 HK97 family phage prohead protease
CFPICI	FUNC:hnh_endonuclease	13	57	0.2281	0	82	0.0000	HNH endonuclease	WP_005879183.1 HNH endonuclease | WP_038679603.1 HNH endonuclease | WP_045517677.1 HNH endonuclease | WP_086392267.1 HNH endonuclease | WP_095370790.1 HNH endonuclease | WP_103170274.1 HNH endonuclease | WP_103301587.1 HNH endonuclease | WP_135023954.1 HNH endonuclease | WP_191817120.1 HNH endonuclease | WP_224732315.1 HNH endonuclease | WP_241960862.1 HNH endonuclease | WP_317134754.1 HNH endonuclease
CFPICI	FUNC:hnh_endonuclease_signature_motif	8	57	0.1404	0	82	0.0000	HNH endonuclease signature motif containing protein	WP_001145896.1 HNH endonuclease signature motif containing protein | WP_001145902.1 HNH endonuclease signature motif containing protein | WP_001145909.1 HNH endonuclease signature motif containing protein | WP_014952495.1 HNH endonuclease signature motif containing protein | WP_048253839.1 HNH endonuclease signature motif containing protein | WP_048618027.1 HNH endonuclease signature motif containing protein | WP_258127935.1 HNH endonuclease signature motif containing protein | WP_267370750.1 HNH endonuclease signature motif containing protein
CFPICI	FUNC:host_cell_division_inhibitor_icd	20	57	0.3509	15	82	0.1829	host cell division inhibitor Icd-like protein | host cell division inhibitor Icd-like protein, partial	WP_001230909.1 host cell division inhibitor Icd-like protein | WP_001362912.1 host cell division inhibitor Icd-like protein | WP_001387819.1 host cell division inhibitor Icd-like protein | WP_001427366.1 host cell division inhibitor Icd-like protein | WP_001576602.1 host cell division inhibitor Icd-like protein | WP_014326454.1 host cell division inhibitor Icd-like protein | WP_032145563.1 host cell division inhibitor Icd-like protein | WP_032346745.1 host cell division inhibitor Icd-like protein | WP_032995581.1 host cell division inhibitor Icd-like protein | WP_047083415.1 host cell division inhibitor Icd-like protein, partial | WP_047086949.1 host cell division inhibitor Icd-like protein | WP_052722512.1 host cell division inhibitor Icd-like protein | WP_053285637.1 host cell division inhibitor Icd-like protein | WP_062899908.1 host cell division inhibitor Icd-like protein | WP_072184187.1 host cell division inhibitor Icd-like protein | WP_079779211.1 host cell division inhibitor Icd-like protein | WP_080783590.1 host cell division inhibitor Icd-like protein | WP_148723012.1 host cell division inhibitor Icd-like protein | WP_172398234.1 host cell division inhibitor Icd-like protein | WP_186279209.1 host cell division inhibitor Icd-like protein | WP_197709760.1 host cell division inhibitor Icd-like protein | WP_201482899.1 host cell division inhibitor Icd-like protein | WP_240321931.1 host cell division inhibitor Icd-like protein | WP_245853693.1 host cell division inhibitor Icd-like protein | WP_322842823.1 host cell division inhibitor Icd-like protein | WP_366179557.1 host cell division inhibitor Icd-like protein | WP_373370093.1 host cell division inhibitor Icd-like protein | WP_423270956.1 host cell division inhibitor Icd-like protein | WP_428845805.1 host cell division inhibitor Icd-like protein | WP_435890601.1 host cell division inhibitor Icd-like protein | WP_436345310.1 host cell division inhibitor Icd-like protein, partial | WP_436835831.1 host cell division inhibitor Icd-like protein | WP_438121734.1 host cell division inhibitor Icd-like protein
CFPICI	FUNC:htH	22	57	0.3860	39	82	0.4756	HTH domain-containing protein | helix-turn-helix domain-containing protein | helix-turn-helix transcriptional regulator	WP_000032304.1 helix-turn-helix transcriptional regulator | WP_000091732.1 helix-turn-helix domain-containing protein | WP_000387403.1 helix-turn-helix transcriptional regulator | WP_000387479.1 helix-turn-helix transcriptional regulator | WP_000700645.1 helix-turn-helix domain-containing protein | WP_000909239.1 helix-turn-helix domain-containing protein | WP_001079824.1 helix-turn-helix domain-containing protein | WP_002512181.1 helix-turn-helix transcriptional regulator | WP_004245365.1 helix-turn-helix transcriptional regulator | WP_005558512.1 helix-turn-helix domain-containing protein | WP_010707088.1 helix-turn-helix domain-containing protein | WP_010707089.1 helix-turn-helix domain-containing protein | WP_010774843.1 helix-turn-helix domain-containing protein | WP_010774844.1 helix-turn-helix domain-containing protein | WP_010825879.1 helix-turn-helix domain-containing protein | WP_010905410.1 HTH domain-containing protein | WP_011677054.1 helix-turn-helix transcriptional regulator | WP_011677059.1 helix-turn-helix domain-containing protein | WP_011834150.1 helix-turn-helix domain-containing protein | WP_012492208.1 helix-turn-helix domain-containing protein | WP_013319152.1 helix-turn-helix transcriptional regulator | WP_014570222.1 helix-turn-helix domain-containing protein | WP_014570223.1 helix-turn-helix domain-containing protein | WP_014573400.1 helix-turn-helix domain-containing protein | WP_014573402.1 helix-turn-helix domain-containing protein | WP_015604662.1 helix-turn-helix domain-containing protein | WP_015647123.1 helix-turn-helix domain-containing protein | WP_023164688.1 helix-turn-helix domain-containing protein | WP_025017251.1 HTH domain-containing protein | WP_025193541.1 helix-turn-helix domain-containing protein | WP_025315428.1 helix-turn-helix transcriptional regulator | WP_029944073.1 helix-turn-helix transcriptional regulator | WP_040975395.1 helix-turn-helix domain-containing protein | WP_042888953.1 helix-turn-helix domain-containing protein | WP_045519160.1 helix-turn-helix domain-containing protein | WP_045519165.1 helix-turn-helix transcriptional regulator | WP_046333744.1 helix-turn-helix domain-containing protein | WP_049409502.1 helix-turn-helix transcriptional regulator | WP_050439618.1 helix-turn-helix transcriptional regulator | WP_050482593.1 helix-turn-helix domain-containing protein | WP_051195857.1 helix-turn-helix domain-containing protein | WP_051664363.1 helix-turn-helix domain-containing protein | WP_052691490.1 helix-turn-helix domain-containing protein | WP_053093062.1 helix-turn-helix domain-containing protein | WP_062931969.1 helix-turn-helix domain-containing protein | WP_064209753.1 helix-turn-helix domain-containing protein | WP_072065292.1 helix-turn-helix transcriptional regulator | WP_072159908.1 helix-turn-helix transcriptional regulator | WP_080783585.1 helix-turn-helix transcriptional regulator | WP_086392276.1 helix-turn-helix transcriptional regulator | WP_086392277.1 helix-turn-helix domain-containing protein | WP_095370800.1 helix-turn-helix domain-containing protein | WP_095370801.1 helix-turn-helix domain-containing protein | WP_103170285.1 helix-turn-helix transcriptional regulator | WP_103301598.1 helix-turn-helix transcriptional regulator | WP_103360818.1 helix-turn-helix domain-containing protein | WP_107610754.1 helix-turn-helix domain-containing protein | WP_107610755.1 helix-turn-helix domain-containing protein | WP_107642683.1 helix-turn-helix domain-containing protein | WP_107642684.1 helix-turn-helix transcriptional regulator | WP_119948058.1 helix-turn-helix domain-containing protein | WP_129531131.1 helix-turn-helix domain-containing protein | WP_129531132.1 helix-turn-helix domain-containing protein | WP_129531133.1 helix-turn-helix domain-containing protein | WP_135023923.1 helix-turn-helix domain-containing protein | WP_154876234.1 helix-turn-helix transcriptional regulator | WP_167114500.1 helix-turn-helix domain-containing protein | WP_202530392.1 helix-turn-helix domain-containing protein | WP_215717065.1 helix-turn-helix domain-containing protein | WP_228259219.1 helix-turn-helix domain-containing protein | WP_229205980.1 helix-turn-helix domain-containing protein | WP_334327507.1 helix-turn-helix transcriptional regulator | WP_336879788.1 helix-turn-helix domain-containing protein | WP_372939128.1 helix-turn-helix domain-containing protein | WP_411675009.1 helix-turn-helix domain-containing protein | WP_437435561.1 helix-turn-helix transcriptional regulator
CFPICI	FUNC:ii_toxin_antitoxin_system_antitoxin_tsca	2	57	0.0351	0	82	0.0000	type II toxin-antitoxin system antitoxin TscA	WP_037589594.1 type II toxin-antitoxin system antitoxin TscA | WP_154876232.1 type II toxin-antitoxin system antitoxin TscA
CFPICI	FUNC:ii_toxin_antitoxin_system_toxin_tsct	5	57	0.0877	1	82	0.0122	type II toxin-antitoxin system toxin TscT	WP_001103959.1 type II toxin-antitoxin system toxin TscT | WP_031914430.1 type II toxin-antitoxin system toxin TscT | WP_049409510.1 type II toxin-antitoxin system toxin TscT | WP_053022392.1 type II toxin-antitoxin system toxin TscT | WP_107639521.1 type II toxin-antitoxin system toxin TscT | WP_243534888.1 type II toxin-antitoxin system toxin TscT
CFPICI	FUNC:infection	1	57	0.0175	0	82	0.0000	phage infection protein	WP_333552759.1 phage infection protein
CFPICI	FUNC:integrase	28	57	0.4912	33	82	0.4024	integrase domain-containing protein | integrase family protein | site-specific integrase | tyrosine-type recombinase/integrase	WP_000085256.1 tyrosine-type recombinase/integrase | WP_000085259.1 tyrosine-type recombinase/integrase | WP_000085265.1 tyrosine-type recombinase/integrase | WP_000085273.1 tyrosine-type recombinase/integrase | WP_000085277.1 tyrosine-type recombinase/integrase | WP_000101907.1 integrase domain-containing protein | WP_000704664.1 tyrosine-type recombinase/integrase | WP_000704676.1 tyrosine-type recombinase/integrase | WP_001021177.1 tyrosine-type recombinase/integrase | WP_001021837.1 tyrosine-type recombinase/integrase | WP_001364183.1 tyrosine-type recombinase/integrase | WP_002491528.1 tyrosine-type recombinase/integrase | WP_005577176.1 tyrosine-type recombinase/integrase | WP_005701717.1 tyrosine-type recombinase/integrase | WP_010707087.1 site-specific integrase | WP_010774845.1 site-specific integrase | WP_010905403.1 tyrosine-type recombinase/integrase | WP_011094287.1 integrase domain-containing protein | WP_011677065.1 tyrosine-type recombinase/integrase | WP_011834162.1 tyrosine-type recombinase/integrase | WP_011836145.1 tyrosine-type recombinase/integrase | WP_012898669.1 tyrosine-type recombinase/integrase | WP_013319157.1 tyrosine-type recombinase/integrase | WP_014326462.1 tyrosine-type recombinase/integrase | WP_014570221.1 site-specific integrase | WP_014915002.1 integrase domain-containing protein | WP_015604661.1 tyrosine-type recombinase/integrase | WP_016634813.1 site-specific integrase | WP_021538184.1 tyrosine-type recombinase/integrase | WP_024201490.1 tyrosine-type recombinase/integrase | WP_024414033.1 tyrosine-type recombinase/integrase | WP_025315426.1 integrase domain-containing protein | WP_026888039.1 tyrosine-type recombinase/integrase | WP_031914436.1 tyrosine-type recombinase/integrase | WP_032317082.1 tyrosine-type recombinase/integrase | WP_038666364.1 tyrosine-type recombinase/integrase | WP_038679584.1 site-specific integrase | WP_040975396.1 tyrosine-type recombinase/integrase | WP_042888951.1 site-specific integrase | WP_045136506.1 site-specific integrase | WP_045517696.1 tyrosine-type recombinase/integrase | WP_046333746.1 tyrosine-type recombinase/integrase | WP_048253852.1 tyrosine-type recombinase/integrase | WP_048618056.1 tyrosine-type recombinase/integrase | WP_049409500.1 tyrosine-type recombinase/integrase | WP_050289116.1 tyrosine-type recombinase/integrase | WP_080783584.1 tyrosine-type recombinase/integrase | WP_095370802.1 site-specific integrase | WP_103170287.1 site-specific integrase | WP_103301599.1 tyrosine-type recombinase/integrase | WP_107596511.1 site-specific integrase | WP_107642682.1 site-specific integrase | WP_128875146.1 tyrosine-type recombinase/integrase | WP_129531137.1 tyrosine-type recombinase/integrase | WP_135023920.1 site-specific integrase | WP_181575775.1 site-specific integrase | WP_181597172.1 integrase family protein | WP_238723493.1 tyrosine-type recombinase/integrase | WP_389539713.1 tyrosine-type recombinase/integrase
CFPICI	FUNC:major_capsid	2	57	0.0351	0	82	0.0000	phage major capsid protein, partial	WP_097464271.1 phage major capsid protein, partial | WP_119180051.1 phage major capsid protein, partial | WP_262837421.1 phage major capsid protein, partial
CFPICI	FUNC:metallopeptidase_ftsh_yme1_tma	1	57	0.0175	0	82	0.0000	ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein	WP_196244896.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein
CFPICI	FUNC:mfs_transporter	1	57	0.0175	0	82	0.0000	MFS transporter	WP_128875154.1 MFS transporter
CFPICI	FUNC:multispecies	2	57	0.0351	2	82	0.0244	MULTISPECIES: DNA-binding protein	WP_064757641.1 MULTISPECIES: DNA-binding protein | WP_115338707.1 MULTISPECIES: DNA-binding protein | WP_119919637.1 MULTISPECIES: DNA-binding protein | WP_135023929.1 MULTISPECIES: DNA-binding protein
CFPICI	FUNC:multispecies_abortive_infection	2	57	0.0351	1	82	0.0122	MULTISPECIES: abortive infection family protein	WP_047039184.1 MULTISPECIES: abortive infection family protein | WP_071959634.1 MULTISPECIES: abortive infection family protein | WP_181490948.1 MULTISPECIES: abortive infection family protein
CFPICI	FUNC:multispecies_adenine_specific_methyltransferase	1	57	0.0175	0	82	0.0000	MULTISPECIES: adenine-specific DNA-methyltransferase	WP_001258951.1 MULTISPECIES: adenine-specific DNA-methyltransferase
CFPICI	FUNC:multispecies_anta_antb_antirepressor	1	57	0.0175	0	82	0.0000	MULTISPECIES: antA/AntB antirepressor family protein	WP_103848553.1 MULTISPECIES: antA/AntB antirepressor family protein
CFPICI	FUNC:multispecies_antirepressor_kilac	5	57	0.0877	0	82	0.0000	MULTISPECIES: phage antirepressor KilAC domain-containing protein	WP_004150969.1 MULTISPECIES: phage antirepressor KilAC domain-containing protein | WP_023309428.1 MULTISPECIES: phage antirepressor KilAC domain-containing protein | WP_065805154.1 MULTISPECIES: phage antirepressor KilAC domain-containing protein
CFPICI	FUNC:multispecies_atpase	1	57	0.0175	0	82	0.0000	MULTISPECIES: ATPase	WP_012425384.1 MULTISPECIES: ATPase
CFPICI	FUNC:multispecies_dethiobiotin_synthase	1	57	0.0175	0	82	0.0000	MULTISPECIES: dethiobiotin synthase	WP_000919231.1 MULTISPECIES: dethiobiotin synthase
CFPICI	FUNC:multispecies_dmt_transporter	1	57	0.0175	0	82	0.0000	MULTISPECIES: DMT family transporter	WP_039128022.1 MULTISPECIES: DMT family transporter
CFPICI	FUNC:multispecies_duf2292	1	57	0.0175	0	82	0.0000	MULTISPECIES: DUF2292 domain-containing protein	WP_005879181.1 MULTISPECIES: DUF2292 domain-containing protein
CFPICI	FUNC:multispecies_duf3800	1	57	0.0175	0	82	0.0000	MULTISPECIES: DUF3800 domain-containing protein	WP_198090637.1 MULTISPECIES: DUF3800 domain-containing protein
CFPICI	FUNC:multispecies_duf3892	6	57	0.1053	0	82	0.0000	MULTISPECIES: DUF3892 domain-containing protein	WP_001547818.1 MULTISPECIES: DUF3892 domain-containing protein
CFPICI	FUNC:multispecies_duf4222	13	57	0.2281	21	82	0.2561	MULTISPECIES: DUF4222 domain-containing protein	WP_000727198.1 MULTISPECIES: DUF4222 domain-containing protein | WP_000770147.1 MULTISPECIES: DUF4222 domain-containing protein | WP_000770153.1 MULTISPECIES: DUF4222 domain-containing protein | WP_000770157.1 MULTISPECIES: DUF4222 domain-containing protein | WP_000770160.1 MULTISPECIES: DUF4222 domain-containing protein | WP_000770163.1 MULTISPECIES: DUF4222 domain-containing protein | WP_000770175.1 MULTISPECIES: DUF4222 domain-containing protein | WP_000770178.1 MULTISPECIES: DUF4222 domain-containing protein | WP_000791984.1 MULTISPECIES: DUF4222 domain-containing protein | WP_000791986.1 MULTISPECIES: DUF4222 domain-containing protein | WP_000810838.1 MULTISPECIES: DUF4222 domain-containing protein | WP_001261489.1 MULTISPECIES: DUF4222 domain-containing protein | WP_001261494.1 MULTISPECIES: DUF4222 domain-containing protein | WP_001261503.1 MULTISPECIES: DUF4222 domain-containing protein | WP_001261505.1 MULTISPECIES: DUF4222 domain-containing protein | WP_017880049.1 MULTISPECIES: DUF4222 domain-containing protein | WP_021538179.1 MULTISPECIES: DUF4222 domain-containing protein | WP_032416075.1 MULTISPECIES: DUF4222 domain-containing protein | WP_040177077.1 MULTISPECIES: DUF4222 domain-containing protein | WP_053285630.1 MULTISPECIES: DUF4222 domain-containing protein | WP_062920959.1 MULTISPECIES: DUF4222 domain-containing protein | WP_064189217.1 MULTISPECIES: DUF4222 domain-containing protein | WP_071843247.1 MULTISPECIES: DUF4222 domain-containing protein | WP_079779208.1 MULTISPECIES: DUF4222 domain-containing protein | WP_149608046.1 MULTISPECIES: DUF4222 domain-containing protein
CFPICI	FUNC:multispecies_duf5348	1	57	0.0175	0	82	0.0000	MULTISPECIES: DUF5348 domain-containing protein	WP_252232598.1 MULTISPECIES: DUF5348 domain-containing protein
CFPICI	FUNC:multispecies_duf6387	5	57	0.0877	1	82	0.0122	MULTISPECIES: DUF6387 family protein	WP_000163378.1 MULTISPECIES: DUF6387 family protein | WP_004245366.1 MULTISPECIES: DUF6387 family protein | WP_016236857.1 MULTISPECIES: DUF6387 family protein | WP_023309430.1 MULTISPECIES: DUF6387 family protein | WP_040194014.1 MULTISPECIES: DUF6387 family protein | WP_060614944.1 MULTISPECIES: DUF6387 family protein
CFPICI	FUNC:multispecies_duf6904	1	57	0.0175	0	82	0.0000	MULTISPECIES: DUF6904 family protein	WP_001567369.1 MULTISPECIES: DUF6904 family protein
CFPICI	FUNC:multispecies_duf927	9	57	0.1579	1	82	0.0122	MULTISPECIES: DUF927 domain-containing protein	WP_000761790.1 MULTISPECIES: DUF927 domain-containing protein | WP_001547831.1 MULTISPECIES: DUF927 domain-containing protein | WP_004150965.1 MULTISPECIES: DUF927 domain-containing protein | WP_058654948.1 MULTISPECIES: DUF927 domain-containing protein | WP_064160164.1 MULTISPECIES: DUF927 domain-containing protein | WP_076752408.1 MULTISPECIES: DUF927 domain-containing protein | WP_101360988.1 MULTISPECIES: DUF927 domain-containing protein | WP_137351848.1 MULTISPECIES: DUF927 domain-containing protein
CFPICI	FUNC:multispecies_glsb_yeaq_ymge_stress_response_membrane	2	57	0.0351	0	82	0.0000	MULTISPECIES: GlsB/YeaQ/YmgE family stress response membrane protein	WP_003568375.1 MULTISPECIES: GlsB/YeaQ/YmgE family stress response membrane protein
