accession	n_families	families
NZ_CP082100.1	2	CFPICI,PICI
NZ_CP097213.1	2	CFPICI,PICI
NZ_CP098841.1	2	CFPICI,PICI
NZ_CP098910.1	2	CFPICI,PICI
NZ_CP101274.1	2	CFPICI,PICI
NZ_CP101292.1	3	CFPICI,P4,PICI
NZ_CP101305.1	2	CFPICI,PICI
NZ_CP101513.1	2	P4,PICI
NZ_CP101858.1	2	CFPICI,PICI
NZ_CP102061.1	2	CFPICI,PICI
NZ_CP119577.1	2	CFPICI,PICI
NZ_CP125885.1	2	CFPICI,PICI
NZ_CP125889.1	3	CFPICI,P4,PICI
NZ_CP132061.1	2	P4,PICI
NZ_CP134353.1	2	P4,PICI
NZ_CP134376.1	2	P4,PICI
NZ_CP135502.1	2	CFPICI,PICI
NZ_CP145099.1	2	CFPICI,PICI
NZ_CP146019.1	2	P4,PICI
NZ_CP148349.1	2	P4,PICI
NZ_CP148357.1	3	CFPICI,P4,PICI
NZ_CP148378.1	2	CFPICI,PICI
NZ_CP148474.1	2	CFPICI,PICI
NZ_CP150019.1	2	P4,PICI
NZ_CP150075.1	2	CFPICI,PICI
NZ_CP151005.1	2	CFPICI,PICI
NZ_CP151030.1	2	CFPICI,PICI
NZ_CP151045.1	2	CFPICI,PICI
NZ_CP151050.1	2	CFPICI,PICI
NZ_CP155528.1	2	CFPICI,PICI
NZ_CP155727.1	2	CFPICI,PICI
NZ_CP158429.1	2	CFPICI,PICI
NZ_CP162163.1	2	CFPICI,PICI
NZ_CP168981.1	3	CFPICI,P4,PICI
NZ_CP168991.1	2	CFPICI,PICI
NZ_CP169003.1	3	CFPICI,P4,PICI
NZ_CP169008.1	2	CFPICI,PICI
NZ_CP170328.1	2	CFPICI,PICI
NZ_CP171883.1	2	CFPICI,PICI
NZ_CP172108.1	2	CFPICI,PICI
NZ_CP189657.1	2	CFPICI,PICI
NZ_CP196412.1	2	CFPICI,PICI
NZ_CP200247.1	2	CFPICI,PICI
