accession	family	batch	size_bytes	file
CP053101.1	CFPICI	001	4902	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP053101.1_CFPICI_output.tsv
CP054876.1	CFPICI	001	4763	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP054876.1_CFPICI_output.tsv
CP059048.1	PICI	001	4067	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP059048.1_PICI_output.tsv
CP059049.1	PICI	001	2257	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP059049.1_PICI_output.tsv
CP062279.1	CFPICI	001	2816	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP062279.1_CFPICI_output.tsv
CP064772.1	CFPICI	001	1476	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP064772.1_CFPICI_output.tsv
CP065702.1	CFPICI	001	5469	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP065702.1_CFPICI_output.tsv
CP065702.1	PICI	001	9013	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP065702.1_PICI_output.tsv
CP065737.1	CFPICI	001	2825	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP065737.1_CFPICI_output.tsv
CP065737.1	PICI	001	11658	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP065737.1_PICI_output.tsv
CP065868.1	CFPICI	001	4889	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP065868.1_CFPICI_output.tsv
CP089159.1	CFPICI	001	4563	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP089159.1_CFPICI_output.tsv
CP089162.1	CFPICI	001	4651	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP089162.1_CFPICI_output.tsv
CP089586.1	CFPICI	001	2787	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP089586.1_CFPICI_output.tsv
CP091315.1	PICI	001	7116	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP091315.1_PICI_output.tsv
CP091316.1	PICI	001	7116	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP091316.1_PICI_output.tsv
CP093062.1	CFPICI	001	2299	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP093062.1_CFPICI_output.tsv
CP093064.1	CFPICI	001	2675	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP093064.1_CFPICI_output.tsv
CP093413.1	CFPICI	001	2785	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP093413.1_CFPICI_output.tsv
CP093413.1	PICI	001	8797	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP093413.1_PICI_output.tsv
CP093959.1	CFPICI	001	2918	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP093959.1_CFPICI_output.tsv
CP093959.1	PICI	001	7164	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP093959.1_PICI_output.tsv
CP094474.1	CFPICI	001	12332	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP094474.1_CFPICI_output.tsv
CP094474.1	PICI	001	12486	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP094474.1_PICI_output.tsv
CP098790.1	PICI	001	3916	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP098790.1_PICI_output.tsv
CP102522.1	CFPICI	001	12340	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP102522.1_CFPICI_output.tsv
CP102522.1	PICI	001	12529	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP102522.1_PICI_output.tsv
CP104388.1	PICI	001	3725	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP104388.1_PICI_output.tsv
CP110849.1	PICI	001	2865	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP110849.1_PICI_output.tsv
CP117409.1	CFPICI	001	3205	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP117409.1_CFPICI_output.tsv
CP117409.1	PICI	001	3349	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP117409.1_PICI_output.tsv
CP118738.1	CFPICI	002	3497	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP118738.1_CFPICI_output.tsv
CP119113.1	CFPICI	002	5263	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP119113.1_CFPICI_output.tsv
CP121539.1	PICI	002	3088	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP121539.1_PICI_output.tsv
CP122489.1	CFPICI	002	2616	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP122489.1_CFPICI_output.tsv
CP122489.1	PICI	002	2922	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP122489.1_PICI_output.tsv
CP127538.1	CFPICI	002	2290	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127538.1_CFPICI_output.tsv
CP127551.1	CFPICI	002	8250	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127551.1_CFPICI_output.tsv
CP127571.1	CFPICI	002	2181	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127571.1_CFPICI_output.tsv
CP127616.1	CFPICI	002	2582	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127616.1_CFPICI_output.tsv
CP127618.1	CFPICI	002	2183	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127618.1_CFPICI_output.tsv
CP127656.1	CFPICI	002	2179	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127656.1_CFPICI_output.tsv
CP127656.1	PICI	002	2896	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP127656.1_PICI_output.tsv
CP127676.1	CFPICI	002	2185	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127676.1_CFPICI_output.tsv
CP127696.1	CFPICI	002	4731	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127696.1_CFPICI_output.tsv
CP127739.1	CFPICI	002	4721	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127739.1_CFPICI_output.tsv
CP127757.1	CFPICI	002	4731	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127757.1_CFPICI_output.tsv
CP127770.1	CFPICI	002	4721	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127770.1_CFPICI_output.tsv
CP127780.1	CFPICI	002	8067	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127780.1_CFPICI_output.tsv
CP127790.1	CFPICI	002	7780	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127790.1_CFPICI_output.tsv
CP127790.1	PICI	002	1878	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP127790.1_PICI_output.tsv
CP127820.1	CFPICI	002	4780	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127820.1_CFPICI_output.tsv
CP127824.1	CFPICI	002	4731	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127824.1_CFPICI_output.tsv
CP129526.1	CFPICI	002	2898	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP129526.1_CFPICI_output.tsv
CP129557.1	CFPICI	002	2126	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP129557.1_CFPICI_output.tsv
CP132486.1	CFPICI	002	4245	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP132486.1_CFPICI_output.tsv
CP132490.1	CFPICI	002	2852	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP132490.1_CFPICI_output.tsv
CP132492.1	CFPICI	002	4245	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP132492.1_CFPICI_output.tsv
CP132497.1	CFPICI	002	2569	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP132497.1_CFPICI_output.tsv
CP132498.1	CFPICI	002	2569	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP132498.1_CFPICI_output.tsv
CP132500.1	CFPICI	002	2569	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP132500.1_CFPICI_output.tsv
CP132501.1	CFPICI	002	2852	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP132501.1_CFPICI_output.tsv
CP132504.1	CFPICI	002	2569	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP132504.1_CFPICI_output.tsv
CP134617.1	PICI	002	3179	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP134617.1_PICI_output.tsv
CP135621.1	CFPICI	002	2884	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP135621.1_CFPICI_output.tsv
CP137623.1	PICI	002	4141	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP137623.1_PICI_output.tsv
CP138309.1	CFPICI	002	2790	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP138309.1_CFPICI_output.tsv
CP138309.1	PICI	002	8798	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP138309.1_PICI_output.tsv
CP139866.1	CFPICI	002	5053	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP139866.1_CFPICI_output.tsv
CP141398.1	CFPICI	002	2570	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141398.1_CFPICI_output.tsv
CP141407.1	CFPICI	002	2306	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141407.1_CFPICI_output.tsv
CP141417.1	CFPICI	002	7728	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141417.1_CFPICI_output.tsv
CP141425.1	CFPICI	002	9132	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141425.1_CFPICI_output.tsv
CP141430.1	CFPICI	002	7949	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141430.1_CFPICI_output.tsv
CP141445.1	CFPICI	002	5709	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141445.1_CFPICI_output.tsv
CP141462.1	CFPICI	002	8709	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141462.1_CFPICI_output.tsv
CP141466.1	CFPICI	002	7753	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141466.1_CFPICI_output.tsv
CP141468.1	CFPICI	002	8924	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141468.1_CFPICI_output.tsv
CP141477.1	CFPICI	002	3015	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141477.1_CFPICI_output.tsv
CP141478.1	CFPICI	002	3279	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141478.1_CFPICI_output.tsv
CP141482.1	CFPICI	002	2715	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141482.1_CFPICI_output.tsv
CP141484.1	CFPICI	002	5834	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141484.1_CFPICI_output.tsv
CP141488.1	CFPICI	002	5150	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141488.1_CFPICI_output.tsv
CP141494.1	CFPICI	002	8823	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141494.1_CFPICI_output.tsv
CP141495.1	CFPICI	002	8763	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141495.1_CFPICI_output.tsv
CP141499.1	CFPICI	002	9152	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141499.1_CFPICI_output.tsv
CP141502.1	CFPICI	002	6336	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141502.1_CFPICI_output.tsv
CP141505.1	CFPICI	002	3027	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141505.1_CFPICI_output.tsv
CP141512.1	CFPICI	002	5746	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141512.1_CFPICI_output.tsv
CP141519.1	CFPICI	002	2687	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141519.1_CFPICI_output.tsv
CP141523.1	CFPICI	002	7908	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141523.1_CFPICI_output.tsv
CP152453.1	CFPICI	002	2352	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP152453.1_CFPICI_output.tsv
CP156697.1	CFPICI	002	2343	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP156697.1_CFPICI_output.tsv
CP156750.1	CFPICI	002	5207	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP156750.1_CFPICI_output.tsv
CP157287.1	CFPICI	002	2761	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP157287.1_CFPICI_output.tsv
CP157287.1	PICI	002	11610	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP157287.1_PICI_output.tsv
CP157301.1	CFPICI	002	2182	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP157301.1_CFPICI_output.tsv
CP157495.1	CFPICI	002	3021	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP157495.1_CFPICI_output.tsv
CP157498.1	CFPICI	002	3021	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP157498.1_CFPICI_output.tsv
CP157500.1	CFPICI	002	3005	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP157500.1_CFPICI_output.tsv
CP159281.1	PICI	002	11360	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP159281.1_PICI_output.tsv
CP168013.1	CFPICI	002	2182	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP168013.1_CFPICI_output.tsv
CP169315.1	PICI	002	3138	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP169315.1_PICI_output.tsv
CP170710.1	CFPICI	002	7352	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP170710.1_CFPICI_output.tsv
CP178226.1	PICI	002	2985	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP178226.1_PICI_output.tsv
CP184541.1	CFPICI	002	4753	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184541.1_CFPICI_output.tsv
CP184543.1	CFPICI	002	5402	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184543.1_CFPICI_output.tsv
CP184549.1	CFPICI	002	2136	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184549.1_CFPICI_output.tsv
CP184549.1	PICI	002	3080	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP184549.1_PICI_output.tsv
CP184551.1	CFPICI	002	2150	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184551.1_CFPICI_output.tsv
CP184551.1	PICI	002	3100	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/CP184551.1_PICI_output.tsv
CP184555.1	CFPICI	002	8759	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184555.1_CFPICI_output.tsv
CP184557.1	CFPICI	002	8161	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184557.1_CFPICI_output.tsv
CP184559.1	CFPICI	002	5298	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184559.1_CFPICI_output.tsv
CP184561.1	CFPICI	002	5546	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184561.1_CFPICI_output.tsv
CP184563.1	CFPICI	002	2286	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184563.1_CFPICI_output.tsv
CP190357.1	CFPICI	002	4742	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP190357.1_CFPICI_output.tsv
CP192213.1	CFPICI	002	4905	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP192213.1_CFPICI_output.tsv
CP192214.1	CFPICI	002	4920	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP192214.1_CFPICI_output.tsv
CP192215.1	CFPICI	002	4906	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP192215.1_CFPICI_output.tsv
FR714927.1	CFPICI	002	2175	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/FR714927.1_CFPICI_output.tsv
LR586016.1	PICI	002	2950	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/PICI/LR586016.1_PICI_output.tsv
LR593886.1	CFPICI	003	2424	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/LR593886.1_CFPICI_output.tsv
LR593887.1	PICI	003	2950	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/PICI/LR593887.1_PICI_output.tsv
LR593888.1	PICI	003	2109	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/PICI/LR593888.1_PICI_output.tsv
Mawb	EPIP	009	82466	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/009/RESULTS/EPIP/Mawb_EPIP_output.tsv
Mawb	PICI	009	255581	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/009/RESULTS/PICI/Mawb_PICI_output.tsv
NC_000913.3	PICI	003	2035	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/PICI/NC_000913.3_PICI_output.tsv
NC_002695.2	CFPICI	003	13525	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_002695.2_CFPICI_output.tsv
NC_002745.2	CFPICI	003	2205	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_002745.2_CFPICI_output.tsv
NC_003028.3	PICI	003	2988	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/PICI/NC_003028.3_PICI_output.tsv
NC_004668.1	CFPICI	003	2896	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_004668.1_CFPICI_output.tsv
NC_004668.1	PICI	003	8648	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/PICI/NC_004668.1_PICI_output.tsv
NC_009641.1	CFPICI	003	2188	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_009641.1_CFPICI_output.tsv
