batch	family	accession	region_name	region_number	core_start	core_end	strand	n_orfs	n_core_orfs	genome_fasta	output_fasta	status	source_tsv
001	CFPICI	BX571857.1	CFPICI REGION 1 - BX571857.1	1	2045472	2052026	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/BX571857.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/BX571857.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/BX571857.1_CFPICI_output.tsv
010	CFPICI	CM002285.1	CFPICI REGION 1 - CM002285.1	1	6543629	6552612	mixed	22	12	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/010/CM002285.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CM002285.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CM002285.1_CFPICI_output.tsv
010	CFPICI	CM002330.1	CFPICI REGION 1 - CM002330.1	1	734314	744074	mixed	24	14	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/010/CM002330.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CM002330.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CM002330.1_CFPICI_output.tsv
010	CFPICI	CM002330.1	CFPICI REGION 2 - CM002330.1	2	1152102	1159155	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/010/CM002330.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CM002330.1_R2_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CM002330.1_CFPICI_output.tsv
001	CFPICI	CM132592.1	CFPICI REGION 1 - CM132592.1	1	1581941	1588588	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CM132592.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CM132592.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CM132592.1_CFPICI_output.tsv
001	CFPICI	CM132592.1	CFPICI REGION 2 - CM132592.1	2	459093	466185	1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CM132592.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CM132592.1_R2_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CM132592.1_CFPICI_output.tsv
001	CFPICI	CM132592.1	CFPICI REGION 3 - CM132592.1	3	1363266	1370302	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CM132592.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CM132592.1_R3_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CM132592.1_CFPICI_output.tsv
010	CFPICI	CP005970.1	CFPICI REGION 1 - CP005970.1	1	259308	267081	1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/010/CP005970.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP005970.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP005970.1_CFPICI_output.tsv
010	CFPICI	CP005975.1	CFPICI REGION 1 - CP005975.1	1	4118957	4125391	1	18	8	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/010/CP005975.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP005975.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP005975.1_CFPICI_output.tsv
010	CFPICI	CP005976.1	CFPICI REGION 1 - CP005976.1	1	6009654	6017436	-1	21	11	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/010/CP005976.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP005976.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP005976.1_CFPICI_output.tsv
010	CFPICI	CP006853.1	CFPICI REGION 1 - CP006853.1	1	3397894	3412558	-1	31	21	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/010/CP006853.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP006853.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP006853.1_CFPICI_output.tsv
010	CFPICI	CP006937.1	CFPICI REGION 1 - CP006937.1	1	2672301	2679944	1	20	10	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/010/CP006937.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP006937.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP006937.1_CFPICI_output.tsv
010	CFPICI	CP006978.1	CFPICI REGION 1 - CP006978.1	1	1755003	1762145	1	20	10	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/010/CP006978.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP006978.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP006978.1_CFPICI_output.tsv
010	CFPICI	CP006982.1	CFPICI REGION 1 - CP006982.1	1	2714205	2721848	1	20	10	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/010/CP006982.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP006982.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP006982.1_CFPICI_output.tsv
001	CFPICI	CP035671.1	CFPICI REGION 1 - CP035671.1	1	53085	66252	1	37	27	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CP035671.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP035671.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP035671.1_CFPICI_output.tsv
001	CFPICI	CP062279.1	CFPICI REGION 1 - CP062279.1	1	550268	556094	1	18	8	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CP062279.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP062279.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP062279.1_CFPICI_output.tsv
001	CFPICI	CP065702.1	CFPICI REGION 1 - CP065702.1	1	2187783	2194446	1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CP065702.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP065702.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP065702.1_CFPICI_output.tsv
001	CFPICI	CP065737.1	CFPICI REGION 1 - CP065737.1	1	134193	140840	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CP065737.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP065737.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP065737.1_CFPICI_output.tsv
001	CFPICI	CP093413.1	CFPICI REGION 1 - CP093413.1	1	523961	530624	1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CP093413.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP093413.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP093413.1_CFPICI_output.tsv
001	CFPICI	CP093959.1	CFPICI REGION 1 - CP093959.1	1	1401181	1406586	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CP093959.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP093959.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP093959.1_CFPICI_output.tsv
001	CFPICI	CP094474.1	CFPICI REGION 1 - CP094474.1	1	1639708	1645113	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CP094474.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP094474.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP094474.1_CFPICI_output.tsv
001	CFPICI	CP094474.1	CFPICI REGION 2 - CP094474.1	2	2192313	2198920	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CP094474.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP094474.1_R2_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP094474.1_CFPICI_output.tsv
001	CFPICI	CP094474.1	CFPICI REGION 3 - CP094474.1	3	1564711	1571746	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CP094474.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP094474.1_R3_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP094474.1_CFPICI_output.tsv
001	CFPICI	CP102522.1	CFPICI REGION 1 - CP102522.1	1	1444566	1449971	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CP102522.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP102522.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP102522.1_CFPICI_output.tsv
001	CFPICI	CP102522.1	CFPICI REGION 2 - CP102522.1	2	1997167	2003774	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CP102522.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP102522.1_R2_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP102522.1_CFPICI_output.tsv
001	CFPICI	CP102522.1	CFPICI REGION 3 - CP102522.1	3	1369568	1376603	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/CP102522.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP102522.1_R3_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP102522.1_CFPICI_output.tsv
002	CFPICI	CP127551.1	CFPICI REGION 1 - CP127551.1	1	2085602	2092156	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP127551.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP127551.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127551.1_CFPICI_output.tsv
002	CFPICI	CP127616.1	CFPICI REGION 1 - CP127616.1	1	1455837	1462392	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP127616.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP127616.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127616.1_CFPICI_output.tsv
002	CFPICI	CP127780.1	CFPICI REGION 1 - CP127780.1	1	242003	248954	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP127780.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP127780.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127780.1_CFPICI_output.tsv
002	CFPICI	CP127780.1	CFPICI REGION 2 - CP127780.1	2	1599748	1606699	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP127780.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP127780.1_R2_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127780.1_CFPICI_output.tsv
002	CFPICI	CP127790.1	CFPICI REGION 1 - CP127790.1	1	2107177	2113732	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP127790.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP127790.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127790.1_CFPICI_output.tsv
002	CFPICI	CP129526.1	CFPICI REGION 1 - CP129526.1	1	480383	488281	1	20	10	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP129526.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP129526.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP129526.1_CFPICI_output.tsv
002	CFPICI	CP141494.1	CFPICI REGION 1 - CP141494.1	1	2624717	2638011	-1	45	35	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP141494.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP141494.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141494.1_CFPICI_output.tsv
002	CFPICI	CP141512.1	CFPICI REGION 1 - CP141512.1	1	1242565	1249118	1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP141512.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP141512.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141512.1_CFPICI_output.tsv
002	CFPICI	CP156750.1	CFPICI REGION 1 - CP156750.1	1	383958	390909	1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP156750.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP156750.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP156750.1_CFPICI_output.tsv
002	CFPICI	CP157495.1	CFPICI REGION 1 - CP157495.1	1	2216344	2224241	-1	20	10	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP157495.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP157495.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP157495.1_CFPICI_output.tsv
002	CFPICI	CP157498.1	CFPICI REGION 1 - CP157498.1	1	2216343	2224240	-1	20	10	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP157498.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP157498.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP157498.1_CFPICI_output.tsv
002	CFPICI	CP157500.1	CFPICI REGION 1 - CP157500.1	1	1586007	1593904	1	20	10	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP157500.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP157500.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP157500.1_CFPICI_output.tsv
002	CFPICI	CP184555.1	CFPICI REGION 1 - CP184555.1	1	2467263	2476803	-1	27	17	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP184555.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP184555.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184555.1_CFPICI_output.tsv
002	CFPICI	CP184557.1	CFPICI REGION 1 - CP184557.1	1	1287792	1297332	-1	27	17	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/002/CP184557.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP184557.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184557.1_CFPICI_output.tsv
010	CFPICI	JTIY01000001.1	CFPICI REGION 1 - JTIY01000001.1	1	2747008	2753748	1	18	8	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/010/JTIY01000001.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/JTIY01000001.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/JTIY01000001.1_CFPICI_output.tsv
003	CFPICI	NC_002695.2	CFPICI REGION 1 - NC_002695.2	1	1603883	1609027	1	17	7	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/003/NC_002695.2.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NC_002695.2_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_002695.2_CFPICI_output.tsv
003	CFPICI	NC_002695.2	CFPICI REGION 2 - NC_002695.2	2	1947377	1955733	1	18	8	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/003/NC_002695.2.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NC_002695.2_R2_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_002695.2_CFPICI_output.tsv
003	CFPICI	NC_002695.2	CFPICI REGION 3 - NC_002695.2	3	1561609	1569965	1	18	8	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/003/NC_002695.2.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NC_002695.2_R3_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_002695.2_CFPICI_output.tsv
003	CFPICI	NC_002695.2	CFPICI REGION 4 - NC_002695.2	4	1780079	1788436	1	18	8	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/003/NC_002695.2.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NC_002695.2_R4_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_002695.2_CFPICI_output.tsv
003	CFPICI	NC_002695.2	CFPICI REGION 5 - NC_002695.2	5	2225647	2234004	-1	17	7	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/003/NC_002695.2.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NC_002695.2_R5_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_002695.2_CFPICI_output.tsv
003	CFPICI	NC_004668.1	CFPICI REGION 1 - NC_004668.1	1	2715721	2722135	-1	18	8	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/003/NC_004668.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NC_004668.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_004668.1_CFPICI_output.tsv
003	CFPICI	NZ_AP035757.1	CFPICI REGION 1 - NZ_AP035757.1	1	2677524	2684490	-1	20	10	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/003/NZ_AP035757.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_AP035757.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_AP035757.1_CFPICI_output.tsv
003	CFPICI	NZ_AP035757.1	CFPICI REGION 2 - NZ_AP035757.1	2	4360854	4367819	-1	20	10	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/003/NZ_AP035757.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_AP035757.1_R2_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_AP035757.1_CFPICI_output.tsv
