family	accession	region	core_start	core_end	core_len_bp	n_core_orfs	had_blastn_support	query_length	supported_bp	core_region_family_coverage	core_region_family_coverage_percent	coverage_bin	family_supported_weighted_identity	family_supported_weighted_identity_percent	top_reference	top_reference_query_fraction	top_reference_query_fraction_percent	top_reference_weighted_identity	n_references_hit	n_hsps_total	query_id	output_fasta	source_tsv
CFPICI	CM132592.1	R1	1581941	1588588	6648	9	0	6648	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CM132592.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CM132592.1_CFPICI_output.tsv
CFPICI	CM132592.1	R2	459093	466185	7093	9	0	7093	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CM132592.1_R2_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CM132592.1_CFPICI_output.tsv
CFPICI	CM132592.1	R3	1363266	1370302	7037	9	0	7037	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CM132592.1_R3_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CM132592.1_CFPICI_output.tsv
CFPICI	CP005970.1	R1	259308	267081	7774	9	0	7774	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP005970.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP005970.1_CFPICI_output.tsv
CFPICI	CP005975.1	R1	4118957	4125391	6435	8	0	6435	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP005975.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP005975.1_CFPICI_output.tsv
CFPICI	CP005976.1	R1	6009654	6017436	7783	11	0	7783	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP005976.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP005976.1_CFPICI_output.tsv
CFPICI	CP006853.1	R1	3397894	3412558	14665	21	0	14665	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP006853.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP006853.1_CFPICI_output.tsv
CFPICI	CP006937.1	R1	2672301	2679944	7644	10	0	7644	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP006937.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP006937.1_CFPICI_output.tsv
CFPICI	CP006978.1	R1	1755003	1762145	7143	10	0	7143	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP006978.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP006978.1_CFPICI_output.tsv
CFPICI	CP006982.1	R1	2714205	2721848	7644	10	0	7644	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP006982.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CP006982.1_CFPICI_output.tsv
CFPICI	CP035671.1	R1	53085	66252	13168	27	0	13168	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP035671.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP035671.1_CFPICI_output.tsv
CFPICI	CP062279.1	R1	550268	556094	5827	8	0	5827	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP062279.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP062279.1_CFPICI_output.tsv
CFPICI	CP065702.1	R1	2187783	2194446	6664	9	0	6664	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP065702.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP065702.1_CFPICI_output.tsv
CFPICI	CP065737.1	R1	134193	140840	6648	9	0	6648	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP065737.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP065737.1_CFPICI_output.tsv
CFPICI	CP093413.1	R1	523961	530624	6664	9	0	6664	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP093413.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP093413.1_CFPICI_output.tsv
CFPICI	CP093959.1	R1	1401181	1406586	5406	9	0	5406	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP093959.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP093959.1_CFPICI_output.tsv
CFPICI	CP094474.1	R1	1639708	1645113	5406	9	0	5406	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP094474.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP094474.1_CFPICI_output.tsv
CFPICI	CP094474.1	R2	2192313	2198920	6608	9	0	6608	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP094474.1_R2_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP094474.1_CFPICI_output.tsv
CFPICI	CP094474.1	R3	1564711	1571746	7036	9	0	7036	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP094474.1_R3_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP094474.1_CFPICI_output.tsv
CFPICI	CP102522.1	R1	1444566	1449971	5406	9	0	5406	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP102522.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP102522.1_CFPICI_output.tsv
CFPICI	CP102522.1	R2	1997167	2003774	6608	9	0	6608	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP102522.1_R2_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP102522.1_CFPICI_output.tsv
CFPICI	CP102522.1	R3	1369568	1376603	7036	9	0	7036	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP102522.1_R3_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP102522.1_CFPICI_output.tsv
CFPICI	CP127551.1	R1	2085602	2092156	6555	9	0	6555	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP127551.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127551.1_CFPICI_output.tsv
CFPICI	CP127616.1	R1	1455837	1462392	6556	9	0	6556	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP127616.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127616.1_CFPICI_output.tsv
CFPICI	CP127780.1	R1	242003	248954	6952	9	0	6952	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP127780.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127780.1_CFPICI_output.tsv
CFPICI	CP127780.1	R2	1599748	1606699	6952	9	0	6952	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP127780.1_R2_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127780.1_CFPICI_output.tsv
CFPICI	CP127790.1	R1	2107177	2113732	6556	9	0	6556	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP127790.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP127790.1_CFPICI_output.tsv
CFPICI	CP129526.1	R1	480383	488281	7899	10	0	7899	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP129526.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP129526.1_CFPICI_output.tsv
CFPICI	CP141494.1	R1	2624717	2638011	13295	35	0	13295	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP141494.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141494.1_CFPICI_output.tsv
CFPICI	CP141512.1	R1	1242565	1249118	6554	9	0	6554	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP141512.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP141512.1_CFPICI_output.tsv
CFPICI	CP156750.1	R1	383958	390909	6952	9	0	6952	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP156750.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP156750.1_CFPICI_output.tsv
CFPICI	CP157495.1	R1	2216344	2224241	7898	10	0	7898	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP157495.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP157495.1_CFPICI_output.tsv
CFPICI	CP157498.1	R1	2216343	2224240	7898	10	0	7898	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP157498.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP157498.1_CFPICI_output.tsv
CFPICI	CP157500.1	R1	1586007	1593904	7898	10	0	7898	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP157500.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP157500.1_CFPICI_output.tsv
CFPICI	CP184555.1	R1	2467263	2476803	9541	17	0	9541	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP184555.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184555.1_CFPICI_output.tsv
CFPICI	CP184557.1	R1	1287792	1297332	9541	17	0	9541	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CP184557.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/002/RESULTS/CFPICI/CP184557.1_CFPICI_output.tsv
CFPICI	JTIY01000001.1	R1	2747008	2753748	6741	8	0	6741	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/JTIY01000001.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/JTIY01000001.1_CFPICI_output.tsv
CFPICI	NC_002695.2	R1	1603883	1609027	5145	7	1	5145	5145	1.0	100.00%	75-100%	97.262	97.26%	CP028126.1_2294845_2309731	1.0	100.00%	97.105	10	10	NC_002695.2|CFPICI|R1|core|batch=003|record=NC_002695.2_Escherichia_coli_O157_H7_str._Sakai_DNA__complete_genome|start=1603883|end=1609027|strand=1	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NC_002695.2_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_002695.2_CFPICI_output.tsv
CFPICI	NC_002695.2	R2	1947377	1955733	8357	8	0	8357	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NC_002695.2_R2_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_002695.2_CFPICI_output.tsv
CFPICI	NC_002695.2	R3	1561609	1569965	8357	8	0	8357	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NC_002695.2_R3_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_002695.2_CFPICI_output.tsv
CFPICI	NC_002695.2	R4	1780079	1788436	8358	8	0	8358	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NC_002695.2_R4_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_002695.2_CFPICI_output.tsv
CFPICI	NC_002695.2	R5	2225647	2234004	8358	7	0	8358	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NC_002695.2_R5_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_002695.2_CFPICI_output.tsv
CFPICI	NC_004668.1	R1	2715721	2722135	6415	8	0	6415	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NC_004668.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NC_004668.1_CFPICI_output.tsv
CFPICI	NZ_AP035757.1	R1	2677524	2684490	6967	10	1	6967	83	0.0119	1.19%	>0-10%	93.865	93.86%	CP000970.1_955625_970780	0.0119	1.19%	93.976	2	2	NZ_AP035757.1|CFPICI|R1|core|batch=003|record=NZ_AP035757.1_Escherichia_coli_strain_SOI121_chromosome__complete_genome|start=2677524|end=2684490|strand=-1	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_AP035757.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_AP035757.1_CFPICI_output.tsv
CFPICI	NZ_AP035757.1	R2	4360854	4367819	6966	10	1	6966	83	0.0119	1.19%	>0-10%	93.865	93.86%	CP000970.1_955625_970780	0.0119	1.19%	93.976	2	2	NZ_AP035757.1|CFPICI|R2|core|batch=003|record=NZ_AP035757.1_Escherichia_coli_strain_SOI121_chromosome__complete_genome|start=4360854|end=4367819|strand=-1	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_AP035757.1_R2_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_AP035757.1_CFPICI_output.tsv
CFPICI	NZ_AP035757.1	R3	3686068	3692067	6000	8	0	6000	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_AP035757.1_R3_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_AP035757.1_CFPICI_output.tsv
CFPICI	NZ_CM128549.1	R1	1421819	1426962	5144	7	1	5144	5144	1.0	100.00%	75-100%	97.802	97.80%	CP028126.1_2294845_2309731	1.0	100.00%	98.814	10	10	NZ_CM128549.1|CFPICI|R1|core|batch=003|record=NZ_CM128549.1_Escherichia_coli_strain_MMC-J-0020_chromosome__whole_genome_shotgun_sequence|start=1421819|end=1426962|strand=-1	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_CM128549.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_CM128549.1_CFPICI_output.tsv
CFPICI	NZ_CM128581.1	R1	2075563	2083921	8359	8	0	8359	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_CM128581.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_CM128581.1_CFPICI_output.tsv
CFPICI	NZ_CM128588.1	R1	3408615	3415581	6967	10	1	6967	83	0.0119	1.19%	>0-10%	93.865	93.86%	CP000970.1_955625_970780	0.0119	1.19%	93.976	2	2	NZ_CM128588.1|CFPICI|R1|core|batch=003|record=NZ_CM128588.1_Escherichia_coli_strain_300033_chromosome__whole_genome_shotgun_sequence|start=3408615|end=3415581|strand=-1	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_CM128588.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_CM128588.1_CFPICI_output.tsv
CFPICI	NZ_CM128589.1	R1	2709675	2716351	6677	8	0	6677	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_CM128589.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_CM128589.1_CFPICI_output.tsv
CFPICI	NZ_CM128592.1	R1	271588	278265	6678	8	0	6678	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_CM128592.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_CM128592.1_CFPICI_output.tsv
CFPICI	NZ_CM128594.1	R1	2067444	2074373	6930	10	0	6930	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_CM128594.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_CM128594.1_CFPICI_output.tsv
CFPICI	NZ_CM128594.1	R2	2402133	2409062	6930	10	0	6930	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_CM128594.1_R2_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_CM128594.1_CFPICI_output.tsv
CFPICI	NZ_CM128594.1	R3	3595952	3600752	4801	6	1	4801	4801	1.0	100.00%	75-100%	87.579	87.58%	BFLF01000001.1_341769_355219	1.0	100.00%	94.96	10	17	NZ_CM128594.1|CFPICI|R3|core|batch=003|record=NZ_CM128594.1_Escherichia_coli_strain_100248_chromosome__whole_genome_shotgun_sequence|start=3595952|end=3600752|strand=-1	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/NZ_CM128594.1_R3_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/003/RESULTS/CFPICI/NZ_CM128594.1_CFPICI_output.tsv
