query_id	family	reference	aligned_query_bp	query_fraction	aligned_subject_bp	subject_coverage	weighted_pident	bitscore_sum	n_hsps
AP018499.1|PICI|R2|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=612505|end=622090|strand=mixed	PICI	CP003132.1_2352993_2368188	4367	0.4556	4378	0.2881	90.062	5657.0	8
AP018499.1|PICI|R2|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=612505|end=622090|strand=mixed	PICI	CP001834.1_2505680_2520561	4155	0.4334	4169	0.2801	87.307	4741.7	6
AP018499.1|PICI|R2|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=612505|end=622090|strand=mixed	PICI	AM406671.1_32370_51783	4090	0.4267	4096	0.211	90.984	5504.0	6
AP018499.1|PICI|R2|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=612505|end=622090|strand=mixed	PICI	CP006766.1_2464508_2479769	3954	0.4125	3944	0.2584	88.958	4873.8	8
AP018499.1|PICI|R2|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=612505|end=622090|strand=mixed	PICI	CP002094.1_2482743_2492765	2998	0.3127	2969	0.2962	87.603	3471.7	8
AP018499.1|PICI|R2|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=612505|end=622090|strand=mixed	PICI	AE005176.1_502595_517773	1125	0.1174	1128	0.0743	88.173	1338.0	2
AP018499.1|PICI|R2|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=612505|end=622090|strand=mixed	PICI	NC_003028.3_1063231_1073321	60	0.0063	60	0.0059	86.885	67.6	1
AP040133.1|PICI|R1|core|batch=001|record=AP040133.1_Staphylococcus_aureus_KAM440_DNA__complete_genome|start=382674|end=391104|strand=mixed	PICI	SDLZ01000003.1_23159_39035	445	0.0528	447	0.0282	75.947	224.8	2
AP040133.1|PICI|R2|core|batch=001|record=AP040133.1_Staphylococcus_aureus_KAM440_DNA__complete_genome|start=837401|end=848729|strand=mixed	PICI	CP000255.1_881837_895809	2223	0.1962	2221	0.1589	98.606	3933.0	2
AP040133.1|PICI|R2|core|batch=001|record=AP040133.1_Staphylococcus_aureus_KAM440_DNA__complete_genome|start=837401|end=848729|strand=mixed	PICI	SDLZ01000003.1_23159_39035	272	0.024	272	0.0171	76.087	137.0	1
AP040133.1|PICI|R3|core|batch=001|record=AP040133.1_Staphylococcus_aureus_KAM440_DNA__complete_genome|start=2147042|end=2158727|strand=mixed	PICI	CP000255.1_881837_895809	1890	0.1617	1890	0.1353	93.572	2814.0	3
AP040133.1|PICI|R3|core|batch=001|record=AP040133.1_Staphylococcus_aureus_KAM440_DNA__complete_genome|start=2147042|end=2158727|strand=mixed	PICI	SDLZ01000003.1_23159_39035	317	0.0271	317	0.02	75.312	148.0	1
AP040133.1|PICI|R4|core|batch=001|record=AP040133.1_Staphylococcus_aureus_KAM440_DNA__complete_genome|start=2133589|end=2148010|strand=mixed	PICI	CP000255.1_881837_895809	1867	0.1295	1862	0.1333	93.155	2734.0	2
BAAHSV010000001.1|PICI|R1|core|batch=001|record=BAAHSV010000001.1_Staphylococcus_aureus_JMUB7470_DNA__sequence001__whole_genome_shotgun_sequence|start=534582|end=546926|strand=mixed	PICI	CP000255.1_881837_895809	12345	1.0	12345	0.8835	98.555	23206.0	3
BAAHSV010000001.1|PICI|R1|core|batch=001|record=BAAHSV010000001.1_Staphylococcus_aureus_JMUB7470_DNA__sequence001__whole_genome_shotgun_sequence|start=534582|end=546926|strand=mixed	PICI	SDLZ01000003.1_23159_39035	698	0.0565	698	0.044	72.482	215.0	1
BAAHSY010000001.1|PICI|R1|core|batch=001|record=BAAHSY010000001.1_Staphylococcus_aureus_JMUB7473_DNA__sequence001__whole_genome_shotgun_sequence|start=278486|end=290830|strand=mixed	PICI	CP000255.1_881837_895809	12345	1.0	12345	0.8835	98.555	23206.0	3
BAAHSY010000001.1|PICI|R1|core|batch=001|record=BAAHSY010000001.1_Staphylococcus_aureus_JMUB7473_DNA__sequence001__whole_genome_shotgun_sequence|start=278486|end=290830|strand=mixed	PICI	SDLZ01000003.1_23159_39035	698	0.0565	698	0.044	72.482	215.0	1
BAAHSZ010000001.1|PICI|R1|core|batch=001|record=BAAHSZ010000001.1_Staphylococcus_aureus_JMUB7474_DNA__sequence001__whole_genome_shotgun_sequence|start=95551|end=103981|strand=mixed	PICI	SDLZ01000003.1_23159_39035	445	0.0528	447	0.0282	75.947	224.8	2
BAAHTL010000001.1|PICI|R1|core|batch=001|record=BAAHTL010000001.1_Staphylococcus_aureus_JMUB7486_DNA__sequence001__whole_genome_shotgun_sequence|start=95630|end=104060|strand=mixed	PICI	SDLZ01000003.1_23159_39035	445	0.0528	447	0.0282	75.947	224.8	2
BAAHTM010000001.1|PICI|R1|core|batch=001|record=BAAHTM010000001.1_Staphylococcus_aureus_JMUB7487_DNA__sequence001__whole_genome_shotgun_sequence|start=91904|end=100334|strand=mixed	PICI	SDLZ01000003.1_23159_39035	445	0.0528	447	0.0282	75.947	224.8	2
BAAHTN010000001.1|PICI|R1|core|batch=001|record=BAAHTN010000001.1_Staphylococcus_aureus_JMUB7488_DNA__sequence001__whole_genome_shotgun_sequence|start=561734|end=574078|strand=mixed	PICI	CP000255.1_881837_895809	12345	1.0	12345	0.8835	98.54	23194.0	3
BAAHTN010000001.1|PICI|R1|core|batch=001|record=BAAHTN010000001.1_Staphylococcus_aureus_JMUB7488_DNA__sequence001__whole_genome_shotgun_sequence|start=561734|end=574078|strand=mixed	PICI	SDLZ01000003.1_23159_39035	698	0.0565	698	0.044	72.482	215.0	1
BAAHTR010000001.1|PICI|R1|core|batch=001|record=BAAHTR010000001.1_Staphylococcus_aureus_JMUB7492_DNA__sequence001__whole_genome_shotgun_sequence|start=95545|end=103975|strand=mixed	PICI	SDLZ01000003.1_23159_39035	445	0.0528	447	0.0282	75.947	224.8	2
BAAHTS010000002.1|PICI|R1|core|batch=001|record=BAAHTS010000002.1_Staphylococcus_aureus_JMUB7493_DNA__sequence002__whole_genome_shotgun_sequence|start=258387|end=266817|strand=mixed	PICI	SDLZ01000003.1_23159_39035	445	0.0528	447	0.0282	75.947	224.8	2
BAAHTT010000002.1|PICI|R1|core|batch=001|record=BAAHTT010000002.1_Staphylococcus_aureus_JMUB7494_DNA__sequence002__whole_genome_shotgun_sequence|start=326951|end=335381|strand=mixed	PICI	SDLZ01000003.1_23159_39035	445	0.0528	447	0.0282	75.947	224.8	2
BAAHTU010000006.1|PICI|R1|core|batch=001|record=BAAHTU010000006.1_Staphylococcus_aureus_JMUB7495_DNA__sequence006__whole_genome_shotgun_sequence|start=90994|end=96839|strand=mixed	PICI	CP000255.1_881837_895809	1737	0.2971	1738	0.1244	98.217	3037.0	2
BAAHTU010000006.1|PICI|R1|core|batch=001|record=BAAHTU010000006.1_Staphylococcus_aureus_JMUB7495_DNA__sequence006__whole_genome_shotgun_sequence|start=90994|end=96839|strand=mixed	PICI	SDLZ01000003.1_23159_39035	771	0.1319	768	0.0484	79.253	529.0	3
BAAHTU010000006.1|PICI|R2|core|batch=001|record=BAAHTU010000006.1_Staphylococcus_aureus_JMUB7495_DNA__sequence006__whole_genome_shotgun_sequence|start=95025|end=106940|strand=mixed	PICI	CP000255.1_881837_895809	2180	0.1829	2179	0.1559	93.687	3261.0	3
BAAHTU010000006.1|PICI|R2|core|batch=001|record=BAAHTU010000006.1_Staphylococcus_aureus_JMUB7495_DNA__sequence006__whole_genome_shotgun_sequence|start=95025|end=106940|strand=mixed	PICI	SDLZ01000003.1_23159_39035	1647	0.1382	1647	0.1037	85.118	1680.5	3
BAAHTV010000001.1|PICI|R1|core|batch=001|record=BAAHTV010000001.1_Staphylococcus_aureus_JMUB7496_DNA__sequence001__whole_genome_shotgun_sequence|start=90994|end=96839|strand=mixed	PICI	CP000255.1_881837_895809	1737	0.2971	1738	0.1244	98.217	3037.0	2
BAAHTV010000001.1|PICI|R1|core|batch=001|record=BAAHTV010000001.1_Staphylococcus_aureus_JMUB7496_DNA__sequence001__whole_genome_shotgun_sequence|start=90994|end=96839|strand=mixed	PICI	SDLZ01000003.1_23159_39035	771	0.1319	768	0.0484	79.253	529.0	3
BAAHTV010000001.1|PICI|R2|core|batch=001|record=BAAHTV010000001.1_Staphylococcus_aureus_JMUB7496_DNA__sequence001__whole_genome_shotgun_sequence|start=95025|end=106940|strand=mixed	PICI	CP000255.1_881837_895809	2180	0.1829	2179	0.1559	93.687	3261.0	3
BAAHTV010000001.1|PICI|R2|core|batch=001|record=BAAHTV010000001.1_Staphylococcus_aureus_JMUB7496_DNA__sequence001__whole_genome_shotgun_sequence|start=95025|end=106940|strand=mixed	PICI	SDLZ01000003.1_23159_39035	1647	0.1382	1647	0.1037	85.118	1680.5	3
BAAHTW010000002.1|PICI|R1|core|batch=001|record=BAAHTW010000002.1_Staphylococcus_aureus_JMUB7497_DNA__sequence002__whole_genome_shotgun_sequence|start=90994|end=96839|strand=mixed	PICI	CP000255.1_881837_895809	1737	0.2971	1738	0.1244	98.217	3037.0	2
BAAHTW010000002.1|PICI|R1|core|batch=001|record=BAAHTW010000002.1_Staphylococcus_aureus_JMUB7497_DNA__sequence002__whole_genome_shotgun_sequence|start=90994|end=96839|strand=mixed	PICI	SDLZ01000003.1_23159_39035	771	0.1319	768	0.0484	79.253	529.0	3
BAAHTW010000002.1|PICI|R2|core|batch=001|record=BAAHTW010000002.1_Staphylococcus_aureus_JMUB7497_DNA__sequence002__whole_genome_shotgun_sequence|start=95025|end=106940|strand=mixed	PICI	CP000255.1_881837_895809	2180	0.1829	2179	0.1559	93.687	3261.0	3
BAAHTW010000002.1|PICI|R2|core|batch=001|record=BAAHTW010000002.1_Staphylococcus_aureus_JMUB7497_DNA__sequence002__whole_genome_shotgun_sequence|start=95025|end=106940|strand=mixed	PICI	SDLZ01000003.1_23159_39035	1647	0.1382	1647	0.1037	85.118	1680.5	3
BAAHTX010000005.1|PICI|R1|core|batch=001|record=BAAHTX010000005.1_Staphylococcus_aureus_JMUB7498_DNA__sequence005__whole_genome_shotgun_sequence|start=108832|end=114677|strand=mixed	PICI	CP000255.1_881837_895809	1737	0.2971	1738	0.1244	98.159	3031.0	2
BAAHTX010000005.1|PICI|R1|core|batch=001|record=BAAHTX010000005.1_Staphylococcus_aureus_JMUB7498_DNA__sequence005__whole_genome_shotgun_sequence|start=108832|end=114677|strand=mixed	PICI	SDLZ01000003.1_23159_39035	771	0.1319	768	0.0484	79.253	529.0	3
BAAHTX010000005.1|PICI|R2|core|batch=001|record=BAAHTX010000005.1_Staphylococcus_aureus_JMUB7498_DNA__sequence005__whole_genome_shotgun_sequence|start=98731|end=110646|strand=mixed	PICI	CP000255.1_881837_895809	2180	0.1829	2179	0.1559	93.641	3255.0	3
BAAHTX010000005.1|PICI|R2|core|batch=001|record=BAAHTX010000005.1_Staphylococcus_aureus_JMUB7498_DNA__sequence005__whole_genome_shotgun_sequence|start=98731|end=110646|strand=mixed	PICI	SDLZ01000003.1_23159_39035	1647	0.1382	1647	0.1037	85.118	1680.5	3
BAAHTY010000005.1|PICI|R1|core|batch=001|record=BAAHTY010000005.1_Staphylococcus_aureus_JMUB7499_DNA__sequence005__whole_genome_shotgun_sequence|start=108825|end=114670|strand=mixed	PICI	CP000255.1_881837_895809	1737	0.2971	1738	0.1244	98.159	3031.0	2
BAAHTY010000005.1|PICI|R1|core|batch=001|record=BAAHTY010000005.1_Staphylococcus_aureus_JMUB7499_DNA__sequence005__whole_genome_shotgun_sequence|start=108825|end=114670|strand=mixed	PICI	SDLZ01000003.1_23159_39035	771	0.1319	768	0.0484	79.253	529.0	3
BAAHTY010000005.1|PICI|R2|core|batch=001|record=BAAHTY010000005.1_Staphylococcus_aureus_JMUB7499_DNA__sequence005__whole_genome_shotgun_sequence|start=98724|end=110639|strand=mixed	PICI	CP000255.1_881837_895809	2180	0.1829	2179	0.1559	93.641	3255.0	3
BAAHTY010000005.1|PICI|R2|core|batch=001|record=BAAHTY010000005.1_Staphylococcus_aureus_JMUB7499_DNA__sequence005__whole_genome_shotgun_sequence|start=98724|end=110639|strand=mixed	PICI	SDLZ01000003.1_23159_39035	1647	0.1382	1647	0.1037	85.118	1680.5	3
BAAHUE010000001.1|PICI|R1|core|batch=001|record=BAAHUE010000001.1_Staphylococcus_aureus_JMUB7505_DNA__sequence001__whole_genome_shotgun_sequence|start=91340|end=97145|strand=mixed	PICI	CP000255.1_881837_895809	1655	0.285	1657	0.1186	98.069	2881.3	3
BAAHUE010000001.1|PICI|R1|core|batch=001|record=BAAHUE010000001.1_Staphylococcus_aureus_JMUB7505_DNA__sequence001__whole_genome_shotgun_sequence|start=91340|end=97145|strand=mixed	PICI	SDLZ01000003.1_23159_39035	949	0.1635	945	0.0595	77.662	563.0	3
BAAHUE010000001.1|PICI|R2|core|batch=001|record=BAAHUE010000001.1_Staphylococcus_aureus_JMUB7505_DNA__sequence001__whole_genome_shotgun_sequence|start=95331|end=107171|strand=mixed	PICI	CP000255.1_881837_895809	2180	0.1841	2179	0.1559	93.373	3222.0	3
BAAHUE010000001.1|PICI|R2|core|batch=001|record=BAAHUE010000001.1_Staphylococcus_aureus_JMUB7505_DNA__sequence001__whole_genome_shotgun_sequence|start=95331|end=107171|strand=mixed	PICI	SDLZ01000003.1_23159_39035	1931	0.1631	1930	0.1216	83.419	1782.0	3
BAAHUX010000007.1|PICI|R1|core|batch=001|record=BAAHUX010000007.1_Staphylococcus_aureus_JMUB7524_DNA__sequence007__whole_genome_shotgun_sequence|start=106605|end=112450|strand=mixed	PICI	CP000255.1_881837_895809	1737	0.2971	1738	0.1244	98.217	3037.0	2
BAAHUX010000007.1|PICI|R1|core|batch=001|record=BAAHUX010000007.1_Staphylococcus_aureus_JMUB7524_DNA__sequence007__whole_genome_shotgun_sequence|start=106605|end=112450|strand=mixed	PICI	SDLZ01000003.1_23159_39035	771	0.1319	768	0.0484	79.253	529.0	3
BAAHUX010000007.1|PICI|R2|core|batch=001|record=BAAHUX010000007.1_Staphylococcus_aureus_JMUB7524_DNA__sequence007__whole_genome_shotgun_sequence|start=96504|end=108419|strand=mixed	PICI	CP000255.1_881837_895809	2180	0.1829	2179	0.1559	93.687	3261.0	3
BAAHUX010000007.1|PICI|R2|core|batch=001|record=BAAHUX010000007.1_Staphylococcus_aureus_JMUB7524_DNA__sequence007__whole_genome_shotgun_sequence|start=96504|end=108419|strand=mixed	PICI	SDLZ01000003.1_23159_39035	1647	0.1382	1647	0.1037	85.118	1680.5	3
BAAHVB010000006.1|PICI|R1|core|batch=001|record=BAAHVB010000006.1_Staphylococcus_aureus_JMUB7528_DNA__sequence006__whole_genome_shotgun_sequence|start=36173|end=42018|strand=mixed	PICI	CP000255.1_881837_895809	1737	0.2971	1738	0.1244	98.217	3037.0	2
BAAHVB010000006.1|PICI|R1|core|batch=001|record=BAAHVB010000006.1_Staphylococcus_aureus_JMUB7528_DNA__sequence006__whole_genome_shotgun_sequence|start=36173|end=42018|strand=mixed	PICI	SDLZ01000003.1_23159_39035	771	0.1319	768	0.0484	79.253	529.0	3
BAAHVB010000006.1|PICI|R2|core|batch=001|record=BAAHVB010000006.1_Staphylococcus_aureus_JMUB7528_DNA__sequence006__whole_genome_shotgun_sequence|start=40204|end=52119|strand=mixed	PICI	CP000255.1_881837_895809	2180	0.1829	2179	0.1559	93.687	3261.0	3
BAAHVB010000006.1|PICI|R2|core|batch=001|record=BAAHVB010000006.1_Staphylococcus_aureus_JMUB7528_DNA__sequence006__whole_genome_shotgun_sequence|start=40204|end=52119|strand=mixed	PICI	SDLZ01000003.1_23159_39035	1647	0.1382	1647	0.1037	85.118	1680.5	3
BAAHVC010000001.1|PICI|R1|core|batch=001|record=BAAHVC010000001.1_Staphylococcus_aureus_JMUB7529_DNA__sequence001__whole_genome_shotgun_sequence|start=163951|end=176295|strand=mixed	PICI	CP000255.1_881837_895809	12345	1.0	12345	0.8835	98.547	23200.0	3
BAAHVC010000001.1|PICI|R1|core|batch=001|record=BAAHVC010000001.1_Staphylococcus_aureus_JMUB7529_DNA__sequence001__whole_genome_shotgun_sequence|start=163951|end=176295|strand=mixed	PICI	SDLZ01000003.1_23159_39035	698	0.0565	698	0.044	72.482	215.0	1
BAAHVD010000003.1|PICI|R1|core|batch=001|record=BAAHVD010000003.1_Staphylococcus_aureus_JMUB7530_DNA__sequence003__whole_genome_shotgun_sequence|start=36174|end=42019|strand=mixed	PICI	CP000255.1_881837_895809	1737	0.2971	1738	0.1244	98.217	3037.0	2
BAAHVD010000003.1|PICI|R1|core|batch=001|record=BAAHVD010000003.1_Staphylococcus_aureus_JMUB7530_DNA__sequence003__whole_genome_shotgun_sequence|start=36174|end=42019|strand=mixed	PICI	SDLZ01000003.1_23159_39035	771	0.1319	768	0.0484	79.253	529.0	3
BAAHVD010000003.1|PICI|R2|core|batch=001|record=BAAHVD010000003.1_Staphylococcus_aureus_JMUB7530_DNA__sequence003__whole_genome_shotgun_sequence|start=40205|end=52120|strand=mixed	PICI	CP000255.1_881837_895809	2180	0.1829	2179	0.1559	93.687	3261.0	3
BAAHVD010000003.1|PICI|R2|core|batch=001|record=BAAHVD010000003.1_Staphylococcus_aureus_JMUB7530_DNA__sequence003__whole_genome_shotgun_sequence|start=40205|end=52120|strand=mixed	PICI	SDLZ01000003.1_23159_39035	1647	0.1382	1647	0.1037	85.118	1680.5	3
BX571856.1|PICI|R1|core|batch=001|record=BX571856.1_Staphylococcus_aureus_subsp._aureus_strain_MRSA252__complete_genome|start=420468|end=426007|strand=mixed	PICI	CP000255.1_881837_895809	1637	0.2955	1589	0.1137	97.563	2808.4	3
BX571856.1|PICI|R1|core|batch=001|record=BX571856.1_Staphylococcus_aureus_subsp._aureus_strain_MRSA252__complete_genome|start=420468|end=426007|strand=mixed	PICI	SDLZ01000003.1_23159_39035	724	0.1307	726	0.0457	79.155	491.0	3
BX571856.1|PICI|R2|core|batch=001|record=BX571856.1_Staphylococcus_aureus_subsp._aureus_strain_MRSA252__complete_genome|start=410176|end=422282|strand=mixed	PICI	CP000255.1_881837_895809	2626	0.2169	2627	0.188	96.726	4375.0	2
BX571856.1|PICI|R2|core|batch=001|record=BX571856.1_Staphylococcus_aureus_subsp._aureus_strain_MRSA252__complete_genome|start=410176|end=422282|strand=mixed	PICI	SDLZ01000003.1_23159_39035	1539	0.1271	1541	0.0971	87.046	1737.0	2
BX571857.1|PICI|R1|core|batch=001|record=BX571857.1_Staphylococcus_aureus_strain_MSSA476__complete_genome|start=384755|end=393185|strand=mixed	PICI	SDLZ01000003.1_23159_39035	445	0.0528	447	0.0282	75.947	224.8	2
BX950851.1|PICI|R1|core|batch=010|record=BX950851.1_Erwinia_carotovora_subsp._atroseptica_SCRI1043__complete_genome|start=3092131|end=3100777|strand=mixed	PICI	NC_004547.2_3091994_3101397	8647	1.0	8647	0.9195	100.0	15969.0	1
BX950851.1|PICI|R1|core|batch=010|record=BX950851.1_Erwinia_carotovora_subsp._atroseptica_SCRI1043__complete_genome|start=3092131|end=3100777|strand=mixed	PICI	CP003776.1_1838416_1848145	6260	0.724	6510	0.6691	93.412	9651.4	6
BX950851.1|PICI|R1|core|batch=010|record=BX950851.1_Erwinia_carotovora_subsp._atroseptica_SCRI1043__complete_genome|start=3092131|end=3100777|strand=mixed	PICI	CP000036.1_2097873_2108605	497	0.0575	497	0.0463	75.397	231.0	1
BX950851.1|PICI|R1|core|batch=010|record=BX950851.1_Erwinia_carotovora_subsp._atroseptica_SCRI1043__complete_genome|start=3092131|end=3100777|strand=mixed	PICI	AAMJ02000027.1_22790_33855	497	0.0575	497	0.0449	75.397	231.0	1
BX950851.1|PICI|R1|core|batch=010|record=BX950851.1_Erwinia_carotovora_subsp._atroseptica_SCRI1043__complete_genome|start=3092131|end=3100777|strand=mixed	PICI	AP010953.1_3041660_3050231	482	0.0557	482	0.0562	75.665	231.0	1
BX950851.1|PICI|R1|core|batch=010|record=BX950851.1_Erwinia_carotovora_subsp._atroseptica_SCRI1043__complete_genome|start=3092131|end=3100777|strand=mixed	PICI	CP009072.1_106749_118031	482	0.0557	482	0.0427	75.665	231.0	1
BX950851.1|PICI|R1|core|batch=010|record=BX950851.1_Erwinia_carotovora_subsp._atroseptica_SCRI1043__complete_genome|start=3092131|end=3100777|strand=mixed	PICI	CU928162.2_2568989_2580428	482	0.0557	482	0.0421	75.665	231.0	1
BX950851.1|PICI|R1|core|batch=010|record=BX950851.1_Erwinia_carotovora_subsp._atroseptica_SCRI1043__complete_genome|start=3092131|end=3100777|strand=mixed	PICI	CP002038.1_3753070_3764812	415	0.048	414	0.0353	76.066	206.8	2
BX950851.1|PICI|R1|core|batch=010|record=BX950851.1_Erwinia_carotovora_subsp._atroseptica_SCRI1043__complete_genome|start=3092131|end=3100777|strand=mixed	PICI	AP010960.1_2855234_2864550	384	0.0444	384	0.0412	74.68	161.0	1
BX950851.1|PICI|R1|core|batch=010|record=BX950851.1_Erwinia_carotovora_subsp._atroseptica_SCRI1043__complete_genome|start=3092131|end=3100777|strand=mixed	PICI	CP012554.1_2684917_2697361	232	0.0268	232	0.0186	76.695	124.0	1
CM132592.1|PICI|R1|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=2313133|end=2323263|strand=mixed	PICI	CP000425.1_2115981_2128907	7246	0.7152	7233	0.5595	87.748	8435.0	10
CM132592.1|PICI|R1|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=2313133|end=2323263|strand=mixed	PICI	CP002094.1_2482743_2492765	6849	0.676	6840	0.6824	92.699	9874.0	5
CM132592.1|PICI|R1|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=2313133|end=2323263|strand=mixed	PICI	AM406671.1_32370_51783	6323	0.6241	6303	0.3247	87.983	7431.8	8
CM132592.1|PICI|R1|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=2313133|end=2323263|strand=mixed	PICI	CP001834.1_2505680_2520561	5877	0.5801	5876	0.3948	86.873	6556.0	7
CM132592.1|PICI|R1|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=2313133|end=2323263|strand=mixed	PICI	CP003132.1_2352993_2368188	5649	0.5576	5772	0.3798	87.164	6539.0	9
CM132592.1|PICI|R1|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=2313133|end=2323263|strand=mixed	PICI	CP006766.1_2464508_2479769	5553	0.5481	5556	0.364	87.196	6303.0	8
CM132592.1|PICI|R1|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=2313133|end=2323263|strand=mixed	PICI	AE005176.1_502595_517773	1836	0.1812	1835	0.1209	89.125	2283.0	3
CM132592.1|PICI|R2|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=35432|end=45703|strand=mixed	PICI	AM406671.1_32370_51783	7538	0.7338	7610	0.392	96.231	12451.7	9
CM132592.1|PICI|R2|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=35432|end=45703|strand=mixed	PICI	CP003132.1_2352993_2368188	4689	0.4565	4844	0.3188	91.526	6658.0	9
CM132592.1|PICI|R2|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=35432|end=45703|strand=mixed	PICI	CP000425.1_2115981_2128907	4297	0.4183	4304	0.3329	88.602	5225.0	10
CM132592.1|PICI|R2|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=35432|end=45703|strand=mixed	PICI	CP001834.1_2505680_2520561	3924	0.382	3947	0.2652	89.838	5048.0	10
CM132592.1|PICI|R2|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=35432|end=45703|strand=mixed	PICI	CP006766.1_2464508_2479769	3429	0.3338	3462	0.2268	92.299	4915.0	12
CM132592.1|PICI|R2|core|batch=001|record=CM132592.1_Lactococcus_lactis_strain_BIM_B-425_chromosome__complete_sequence__whole_genome_shotgun_sequence|start=35432|end=45703|strand=mixed	PICI	CP002094.1_2482743_2492765	2779	0.2705	2774	0.2768	89.868	3560.0	6
